figure,structure,seed,accuracy_percent,mean_af_percent,pss_fraction,pss_pp
Figure 2,CE-ACE,260,19.180000000000003,37.519999999999996,0.09819999999999998,9.819999999999999
Figure 2,CE-ACE,261,16.915,36.870000000000005,0.04850000000000004,4.850000000000004
Figure 2,CE-ACE,262,17.380000000000003,37.39,0.08879999999999996,8.879999999999995
Figure 2,CE-ACE,263,17.53,35.275,0.06729999999999997,6.729999999999997
Figure 2,CE-ACE,264,17.79,35.925,0.09989999999999999,9.989999999999998
Figure 2,Layer 2 only,260,19.755,38.324999999999996,0.05980000000000002,5.980000000000002
Figure 2,Layer 2 only,261,20.19,37.83,0.09079999999999996,9.079999999999997
Figure 2,Layer 2 only,262,18.53,39.98500000000001,0.060500000000000026,6.0500000000000025
Figure 2,Layer 2 only,263,18.62,38.585,0.06429999999999997,6.429999999999997
Figure 2,Layer 2 only,264,20.36,37.045,0.06889999999999996,6.889999999999996
Figure 2,Layer 3 only,260,17.325000000000003,32.03,0.08789999999999995,8.789999999999996
Figure 2,Layer 3 only,261,15.760000000000002,31.5,0.05760000000000001,5.760000000000002
Figure 2,Layer 3 only,262,16.215000000000003,32.574999999999996,0.0728,7.28
Figure 2,Layer 3 only,263,16.765,29.935000000000002,0.06180000000000002,6.180000000000002
Figure 2,Layer 3 only,264,16.965,30.89,0.05890000000000001,5.890000000000001
Figure 2,Full chain,260,19.18,36.004999999999995,0.06709999999999999,6.709999999999999
Figure 2,Full chain,261,19.89,34.135000000000005,0.07490000000000002,7.490000000000002
Figure 2,Full chain,262,17.915,36.62,0.07729999999999998,7.729999999999998
Figure 2,Full chain,263,18.195,35.235,0.04359999999999997,4.359999999999998
Figure 2,Full chain,264,20.245,33.695,0.05460000000000001,5.460000000000001
