figure,row_type,comparison,metric,seed,value,mean,sd,ci_low,ci_high,n
Figure 3,seed,Layer 2 only vs CE-ACE,Accuracy delta (pp),260,0.5749999999999957,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Accuracy delta (pp),261,3.275000000000002,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Accuracy delta (pp),262,1.1499999999999986,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Accuracy delta (pp),263,1.0899999999999999,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Accuracy delta (pp),264,2.5700000000000003,,,,,
Figure 3,summary,Layer 2 only vs CE-ACE,Accuracy delta (pp),,,1.7319999999999993,1.13717083149367,0.8959999999999979,2.6970000000000014,5
Figure 3,seed,Layer 2 only vs CE-ACE,Forgetting improvement (pp),260,-0.8049999999999997,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Forgetting improvement (pp),261,-0.9599999999999937,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Forgetting improvement (pp),262,-2.595000000000006,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Forgetting improvement (pp),263,-3.3100000000000023,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,Forgetting improvement (pp),264,-1.1200000000000045,,,,,
Figure 3,summary,Layer 2 only vs CE-ACE,Forgetting improvement (pp),,,-1.7580000000000013,1.1248699924880232,-2.6970000000000014,-0.9299999999999983,5
Figure 3,seed,Layer 2 only vs CE-ACE,PSS improvement (pp),260,3.8399999999999963,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,PSS improvement (pp),261,-4.229999999999992,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,PSS improvement (pp),262,2.829999999999994,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,PSS improvement (pp),263,0.30000000000000027,,,,,
Figure 3,seed,Layer 2 only vs CE-ACE,PSS improvement (pp),264,3.1000000000000028,,,,,
Figure 3,summary,Layer 2 only vs CE-ACE,PSS improvement (pp),,,1.1680000000000001,3.2987224799913033,-1.709999999999996,3.3419999999999987,5
Figure 3,seed,Layer 3 only vs CE-ACE,Accuracy delta (pp),260,-1.8550000000000004,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Accuracy delta (pp),261,-1.1549999999999976,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Accuracy delta (pp),262,-1.1649999999999991,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Accuracy delta (pp),263,-0.7650000000000006,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Accuracy delta (pp),264,-0.8249999999999993,,,,,
Figure 3,summary,Layer 3 only vs CE-ACE,Accuracy delta (pp),,,-1.1529999999999994,0.43332435888142745,-1.511,-0.857,5
Figure 3,seed,Layer 3 only vs CE-ACE,Forgetting improvement (pp),260,5.489999999999995,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Forgetting improvement (pp),261,5.3700000000000045,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Forgetting improvement (pp),262,4.815000000000005,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Forgetting improvement (pp),263,5.339999999999996,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,Forgetting improvement (pp),264,5.034999999999997,,,,,
Figure 3,summary,Layer 3 only vs CE-ACE,Forgetting improvement (pp),,,5.209999999999999,0.2772859534848434,4.970000000000003,5.411999999999999,5
Figure 3,seed,Layer 3 only vs CE-ACE,PSS improvement (pp),260,1.0300000000000031,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,PSS improvement (pp),261,-0.9099999999999969,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,PSS improvement (pp),262,1.5999999999999959,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,PSS improvement (pp),263,0.5499999999999949,,,,,
Figure 3,seed,Layer 3 only vs CE-ACE,PSS improvement (pp),264,4.099999999999998,,,,,
Figure 3,summary,Layer 3 only vs CE-ACE,PSS improvement (pp),,,1.273999999999999,1.8334475721983419,-0.03400000000000181,2.872,5
Figure 3,seed,Full chain vs CE-ACE,Accuracy delta (pp),260,-3.552713678800501e-15,,,,,
Figure 3,seed,Full chain vs CE-ACE,Accuracy delta (pp),261,2.9750000000000014,,,,,
Figure 3,seed,Full chain vs CE-ACE,Accuracy delta (pp),262,0.5349999999999966,,,,,
Figure 3,seed,Full chain vs CE-ACE,Accuracy delta (pp),263,0.6649999999999991,,,,,
Figure 3,seed,Full chain vs CE-ACE,Accuracy delta (pp),264,2.455000000000002,,,,,
Figure 3,summary,Full chain vs CE-ACE,Accuracy delta (pp),,,1.3259999999999992,1.305250933728839,0.34699999999999703,2.3830000000000005,5
Figure 3,seed,Full chain vs CE-ACE,Forgetting improvement (pp),260,1.5150000000000006,,,,,
Figure 3,seed,Full chain vs CE-ACE,Forgetting improvement (pp),261,2.7349999999999994,,,,,
Figure 3,seed,Full chain vs CE-ACE,Forgetting improvement (pp),262,0.7700000000000031,,,,,
Figure 3,seed,Full chain vs CE-ACE,Forgetting improvement (pp),263,0.03999999999999915,,,,,
Figure 3,seed,Full chain vs CE-ACE,Forgetting improvement (pp),264,2.229999999999997,,,,,
Figure 3,summary,Full chain vs CE-ACE,Forgetting improvement (pp),,,1.4579999999999997,1.0855908529459881,0.6239999999999994,2.288999999999999,5
Figure 3,seed,Full chain vs CE-ACE,PSS improvement (pp),260,3.109999999999999,,,,,
Figure 3,seed,Full chain vs CE-ACE,PSS improvement (pp),261,-2.639999999999998,,,,,
Figure 3,seed,Full chain vs CE-ACE,PSS improvement (pp),262,1.1499999999999981,,,,,
Figure 3,seed,Full chain vs CE-ACE,PSS improvement (pp),263,2.37,,,,,
Figure 3,seed,Full chain vs CE-ACE,PSS improvement (pp),264,4.529999999999998,,,,,
Figure 3,summary,Full chain vs CE-ACE,PSS improvement (pp),,,1.7039999999999993,2.7195551106752722,-0.6359999999999987,3.569999999999998,5
