figure,memory,method,seed,metric,value
Figure 4,50,C,218,mean_accuracy,14.434999999999999
Figure 4,50,C,219,mean_accuracy,14.585
Figure 4,50,C,220,mean_accuracy,16.935
Figure 4,50,C,221,mean_accuracy,17.01
Figure 4,50,C,222,mean_accuracy,15.204999999999998
Figure 4,200,C,218,mean_accuracy,23.28
Figure 4,200,C,219,mean_accuracy,22.925
Figure 4,200,C,220,mean_accuracy,22.76
Figure 4,200,C,221,mean_accuracy,23.285
Figure 4,200,C,222,mean_accuracy,22.815
Figure 4,50,PRBA,218,mean_accuracy,13.165
Figure 4,50,PRBA,219,mean_accuracy,13.584999999999999
Figure 4,50,PRBA,220,mean_accuracy,14.955000000000002
Figure 4,50,PRBA,221,mean_accuracy,15.339999999999998
Figure 4,50,PRBA,222,mean_accuracy,13.184999999999999
Figure 4,200,PRBA,218,mean_accuracy,22.860000000000003
Figure 4,200,PRBA,219,mean_accuracy,22.805
Figure 4,200,PRBA,220,mean_accuracy,22.7
Figure 4,200,PRBA,221,mean_accuracy,23.505000000000003
Figure 4,200,PRBA,222,mean_accuracy,22.904999999999998
Figure 4,50,OBC,218,mean_accuracy,12.06
Figure 4,50,OBC,219,mean_accuracy,12.590000000000002
Figure 4,50,OBC,220,mean_accuracy,13.865
Figure 4,50,OBC,221,mean_accuracy,13.205
Figure 4,50,OBC,222,mean_accuracy,11.15
Figure 4,200,OBC,218,mean_accuracy,21.894999999999996
Figure 4,200,OBC,219,mean_accuracy,21.915000000000003
Figure 4,200,OBC,220,mean_accuracy,21.485
Figure 4,200,OBC,221,mean_accuracy,22.770000000000003
Figure 4,200,OBC,222,mean_accuracy,21.73
Figure 4,50,C,218,mean_forgetting,37.7
Figure 4,50,C,219,mean_forgetting,40.23
Figure 4,50,C,220,mean_forgetting,40.62
Figure 4,50,C,221,mean_forgetting,39.96
Figure 4,50,C,222,mean_forgetting,35.885
Figure 4,200,C,218,mean_forgetting,31.630000000000003
Figure 4,200,C,219,mean_forgetting,32.75
Figure 4,200,C,220,mean_forgetting,34.9
Figure 4,200,C,221,mean_forgetting,35.3
Figure 4,200,C,222,mean_forgetting,33.940000000000005
Figure 4,50,PRBA,218,mean_forgetting,29.764999999999997
Figure 4,50,PRBA,219,mean_forgetting,32.455
Figure 4,50,PRBA,220,mean_forgetting,33.404999999999994
Figure 4,50,PRBA,221,mean_forgetting,33.87
Figure 4,50,PRBA,222,mean_forgetting,29.294999999999998
Figure 4,200,PRBA,218,mean_forgetting,29.174999999999997
Figure 4,200,PRBA,219,mean_forgetting,29.86
Figure 4,200,PRBA,220,mean_forgetting,32.065
Figure 4,200,PRBA,221,mean_forgetting,32.035000000000004
Figure 4,200,PRBA,222,mean_forgetting,31.345
Figure 4,50,OBC,218,mean_forgetting,27.860000000000003
Figure 4,50,OBC,219,mean_forgetting,30.395
Figure 4,50,OBC,220,mean_forgetting,31.355
Figure 4,50,OBC,221,mean_forgetting,31.0
Figure 4,50,OBC,222,mean_forgetting,26.57
Figure 4,200,OBC,218,mean_forgetting,27.97
Figure 4,200,OBC,219,mean_forgetting,29.015
Figure 4,200,OBC,220,mean_forgetting,31.465
Figure 4,200,OBC,221,mean_forgetting,31.46
Figure 4,200,OBC,222,mean_forgetting,31.209999999999997
Figure 4,50,C,218,pss,8.290000000000001
Figure 4,50,C,219,pss,10.009999999999998
Figure 4,50,C,220,pss,3.4299999999999997
Figure 4,50,C,221,pss,5.940000000000001
Figure 4,50,C,222,pss,6.919999999999998
Figure 4,200,C,218,pss,6.739999999999996
Figure 4,200,C,219,pss,5.469999999999997
Figure 4,200,C,220,pss,4.639999999999997
Figure 4,200,C,221,pss,3.169999999999995
Figure 4,200,C,222,pss,6.549999999999997
Figure 4,50,PRBA,218,pss,3.0
Figure 4,50,PRBA,219,pss,8.840000000000002
Figure 4,50,PRBA,220,pss,2.6400000000000006
Figure 4,50,PRBA,221,pss,6.88
Figure 4,50,PRBA,222,pss,4.34
Figure 4,200,PRBA,218,pss,8.830000000000002
Figure 4,200,PRBA,219,pss,6.509999999999994
Figure 4,200,PRBA,220,pss,6.25
Figure 4,200,PRBA,221,pss,2.1400000000000032
Figure 4,200,PRBA,222,pss,6.839999999999999
Figure 4,50,OBC,218,pss,3.5000000000000004
Figure 4,50,OBC,219,pss,5.250000000000001
Figure 4,50,OBC,220,pss,1.9199999999999995
Figure 4,50,OBC,221,pss,8.729999999999999
Figure 4,50,OBC,222,pss,5.679999999999999
Figure 4,200,OBC,218,pss,8.13
Figure 4,200,OBC,219,pss,6.479999999999997
Figure 4,200,OBC,220,pss,6.420000000000001
Figure 4,200,OBC,221,pss,2.9799999999999964
Figure 4,200,OBC,222,pss,7.800000000000004
