training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3033,0,2.0289,0
0,1,0.4145,0,1.6511,0
0,2,0.4845,0,1.5051,0
0,3,0.5072,0,1.4311,0
0,4,0.5413,0,1.3487,0
1,0,0.3435,0,2.7804,0
1,1,0.5559,0,1.5552,0
1,2,0.6622,0,1.1911,0
1,3,0.6971,0,1.0471,0
1,4,0.7223,0,0.9552,0
2,0,0.4231,0,3.2129,0
2,1,0.6064,0,1.4437,0
2,2,0.6777,0,1.1067,0
2,3,0.7146,0,0.9622,0
2,4,0.7430,0,0.8700,0
3,0,0.4752,0,3.1483,0
3,1,0.6097,0,1.5079,0
3,2,0.6777,0,1.1303,0
3,3,0.7075,0,0.9935,0
3,4,0.7286,0,0.9141,0
4,0,0.4825,0,2.9917,0
4,1,0.6217,0,1.4787,0
4,2,0.7050,0,1.0279,0
4,3,0.7329,0,0.9084,0
4,4,0.7591,0,0.8227,0
5,0,0.4906,0,2.8860,0
5,1,0.6608,0,1.2548,0
5,2,0.7412,0,0.9140,0
5,3,0.7740,0,0.7899,0
5,4,0.7898,0,0.7110,0
6,0,0.5154,0,2.8262,0
6,1,0.6480,0,1.2899,0
6,2,0.7320,0,0.8926,0
6,3,0.7713,0,0.7601,0
6,4,0.7925,0,0.6763,0
7,0,0.5131,0,2.7320,0
7,1,0.7175,0,0.9819,0
7,2,0.7781,0,0.7454,0
7,3,0.8060,0,0.6398,0
7,4,0.8257,0,0.5735,0
8,0,0.5267,0,2.6210,0
8,1,0.7185,0,0.9894,0
8,2,0.7707,0,0.7691,0
8,3,0.7962,0,0.6653,0
8,4,0.8121,0,0.6116,0
9,0,0.5530,0,2.4917,0
9,1,0.7784,0,0.7869,0
9,2,0.8172,0,0.6024,0
9,3,0.8365,0,0.5274,0
9,4,0.8498,0,0.4808,0
