training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3114,0,2.0337,0
0,1,0.4778,0,1.5307,0
0,2,0.5364,0,1.3782,0
0,3,0.5880,0,1.2267,0
0,4,0.6138,0,1.1534,0
1,0,0.2606,0,2.8514,0
1,1,0.4414,0,1.8461,0
1,2,0.5593,0,1.4601,0
1,3,0.6389,0,1.1786,0
1,4,0.6886,0,0.9893,0
2,0,0.2911,0,3.7388,0
2,1,0.5496,0,1.5651,0
2,2,0.6869,0,1.0660,0
2,3,0.7334,0,0.8835,0
2,4,0.7609,0,0.7671,0
3,0,0.4089,0,3.5548,0
3,1,0.5800,0,1.3198,0
3,2,0.6421,0,1.0716,0
3,3,0.6734,0,0.9506,0
3,4,0.6986,0,0.8915,0
4,0,0.3952,0,3.5882,0
4,1,0.6326,0,1.3154,0
4,2,0.7345,0,0.8607,0
4,3,0.7734,0,0.7298,0
4,4,0.8071,0,0.6155,0
5,0,0.4247,0,3.2594,0
5,1,0.6278,0,1.2262,0
5,2,0.7135,0,0.8911,0
5,3,0.7519,0,0.7622,0
5,4,0.7815,0,0.6673,0
6,0,0.4491,0,3.1767,0
6,1,0.6790,0,1.0369,0
6,2,0.7608,0,0.7528,0
6,3,0.8064,0,0.6028,0
6,4,0.8400,0,0.4971,0
7,0,0.4873,0,2.8154,0
7,1,0.7574,0,0.7734,0
7,2,0.8206,0,0.5580,0
7,3,0.8512,0,0.4603,0
7,4,0.8762,0,0.3894,0
8,0,0.4517,0,2.9460,0
8,1,0.7077,0,0.9659,0
8,2,0.7980,0,0.6434,0
8,3,0.8321,0,0.5307,0
8,4,0.8523,0,0.4684,0
9,0,0.4635,0,3.1019,0
9,1,0.7541,0,0.7935,0
9,2,0.8347,0,0.5111,0
9,3,0.8585,0,0.4213,0
9,4,0.8724,0,0.3749,0
